year,age1,age2,age3,age4,age5,age6
1996,0.7,14.4,5,3,1.1,0.5
1997,10.9,2.4,1.4,1.4,1.4,0.2
1998,14.8,9.7,1.1,0,0,0
1999,4,6,9.2,0.5,0,0
2000,15.8,2.6,0.4,0.4,0,0
2001,1.7,7.3,1.7,0.3,0,0
2002,10.4,2.8,6.8,0.6,0,0
2003,1.5,11.3,2.9,0.6,0,0
2004,5.1,3.8,1.4,0,0.7,0
2005,2.1,3,0,0.6,0.3,0
2006,16.9,5.9,1.4,0.7,0,0
2007,12,20,1.3,0.5,0,0.3
2008,7.7,5,7,1,0,0
2009,14.2,3.8,1.2,1.2,0.3,0
