year,age2,age3,age4,age5,age6,age7,age8,age9,age10
2006,250,611,790,573,186,98,17,16,35
2007,482,1394,622,227,176,42,23,5,7
2008,849,1648,1090,319,75,30,20,2,4
2009,146,1219,853,329,116,51,0,8,7
2010,585,441,627,451,191,45,16,15,11
2011,270,1200,777,512,320,154,53,12,19
2012,120,1236,996,360,284,121,66,18,28
2013,61,471,902,340,83,52,32,12,6
2014,114,569,1041,836,291,54,44,27,7
2015,57,139,196,164,119,44,8,8,4
2016,17,296,216,142,103,64,28,3,8
2017,103,109,480,257,165,128,89,32,23
