year,catch
1971,5782
1972,4737
1973,4015
1974,2898
1975,3993
1976,4818
1977,3059
1978,3647
1979,4650
1980,7243
1981,10597
1982,8766
1983,9641
1984,6631
1985,8317
1986,10475
1987,10228
1988,17191
1989,19809
1990,12749
1991,9336
1992,9747
1993,10425
1994,10620
1995,11709
1996,12681
1997,12035
1998,11431
1999,8594
2000,6536
2001,8308
2002,9236
2003,6420
2004,3672
2005,3062
2006,3776
2007,4830
2008,3961
2009,3292
2010,3229
2011,7261
2012,7692
2013,6290
2014,3879
2015,4154
2016,3299
2017,2237
